symbol,weight
STOCK_1,0.004109
STOCK_2,0.004514
STOCK_3,0.006742
STOCK_4,0.019414
STOCK_5,0.004345
STOCK_6,0.003766
STOCK_7,0.005952
STOCK_8,0.031675
STOCK_9,0.008034
STOCK_10,0.006604
STOCK_11,0.002892
STOCK_12,0.05
STOCK_13,0.005773
STOCK_14,0.006563
STOCK_15,0.005106
STOCK_16,0.009172
STOCK_17,0.006935
STOCK_18,0.011952
STOCK_19,0.017284
STOCK_20,0.007689
STOCK_21,0.004918
STOCK_22,0.005773
STOCK_23,0.006013
STOCK_24,0.005697
STOCK_25,0.006865
STOCK_26,0.004586
STOCK_27,0.002237
STOCK_28,0.007351
STOCK_29,0.00622
STOCK_30,0.003342
STOCK_31,0.005645
STOCK_32,0.001863
STOCK_33,0.01488
STOCK_34,0.008675
STOCK_35,0.003903
STOCK_36,0.012583
STOCK_37,0.002984
STOCK_38,0.004424
STOCK_39,0.002545
STOCK_40,0.00329
STOCK_41,0.00377
STOCK_42,0.00326
STOCK_43,0.005966
STOCK_44,0.005404
STOCK_45,0.005419
STOCK_46,0.00334
STOCK_47,0.002194
STOCK_48,0.004895
STOCK_49,0.004017
STOCK_50,0.00316
STOCK_51,0.011324
STOCK_52,0.002483
STOCK_53,0.008157
STOCK_54,0.005417
STOCK_55,0.033699
STOCK_56,0.004262
STOCK_57,0.003047
STOCK_58,0.015367
STOCK_59,0.011282
STOCK_60,0.002458
STOCK_61,0.004305
STOCK_62,0.012119
STOCK_63,0.005973
STOCK_64,0.009977
STOCK_65,0.007728
STOCK_66,0.016935
STOCK_67,0.009524
STOCK_68,0.012134
STOCK_69,0.007122
STOCK_70,0.012411
STOCK_71,0.002361
STOCK_72,0.010433
STOCK_73,0.005653
STOCK_74,0.007411
STOCK_75,0.002601
STOCK_76,0.030263
STOCK_77,0.009381
STOCK_78,0.007529
STOCK_79,0.010106
STOCK_80,0.004065
STOCK_81,0.018597
STOCK_82,0.007902
STOCK_83,0.042871
STOCK_84,0.028218
STOCK_85,0.005532
STOCK_86,0.05
STOCK_87,0.05
STOCK_88,0.016879
STOCK_89,0.027484
STOCK_90,0.025492
STOCK_91,0.003312
STOCK_92,0.005696
STOCK_93,0.004307
STOCK_94,0.012133
STOCK_95,0.012156
STOCK_96,0.004209
STOCK_97,0.00741
STOCK_98,0.003344
STOCK_99,0.004569
STOCK_100,0.010623
